YEAR,USA,GER,RUS,CHN,NETH,UK
1992,286892000,33380000,47220000,24300000,8010000,42330000
1993,297600000,36700000,29120000,27400000,7356000,34020000
1994,293214000,35300000,96693000,28945000,7924000,35409000
1995,277834000,41157000,82000000,32929000,8011000,33406000
1996,277254000,39828000,73990000,36176000,8022000,35266000
1997,276324000,33217000,64000000,36551000,6839000,35736000
1998,279702000,33802000,57107000,38191000,7192000,38093000
1999,292147000,31182000,56800000,39889000,6193000,36368000
2000,303136000,27924000,52000000,42000000,6027000,35655000
2001,322365000,26902000,63684000,46049000,6257000,34714000
2002,348555000,29404000,50800000,68963000,6744000,38141000
2003,404920000,35295000,65200000,75500000,8414000,43311000
2004,455908000,37790000,61500000,84303000,9607000,50120000
2005,495326000,38250000,18768000,29873000,9616000,56922000
2006,521840000,37956000,24577000,35223000,10181000,59926000
2007,552568000,42108000,32215000,46174000,11141000,63258000
2008,616073000,46943000,40484000,60187000,12276000,60794000
2009,662049000,47466000,38293000,70381000,12132000,59131000
2010,693600000,45875000,41944000,76361000,11208000,57796000
2011,687000000,46022000,51594000,90221000,11659000,59978000
2012,655388000,40994000,58765000,102643000,10376000,61274000
